actor,movie_or_TV_name
Jonathan White,Nighthawks
Marion O'Dwyer,Finding You
Marion O'Dwyer,Miss Scarlet and the Duke
Marion O'Dwyer,End of Sentence
Marion O'Dwyer,Robot Ben
Marion O'Dwyer,A Dangerous Fortune
Marion O'Dwyer,"Love, Rosie"
Marion O'Dwyer,My Whole Half Life
Marion O'Dwyer,Covet
Marion O'Dwyer,Torn
Marion O'Dwyer,Irish Pictorial Weekly
Marion O'Dwyer,Hannah Cohen's Holy Communion
Marion O'Dwyer,The Savage Eye
Marion O'Dwyer,Chasing Leprechauns
Marion O'Dwyer,Downpour
Marion O'Dwyer,Tom's Sceadu
Marion O'Dwyer,An Old Fashioned Christmas
Marion O'Dwyer,Love/Hate
Marion O'Dwyer,Ondine
Marion O'Dwyer,Mrs. Brown's Boys: The Original Series
Marion O'Dwyer,The Clinic
Marion O'Dwyer,Perfect Day: The Funeral
Marion O'Dwyer,Doctors
Marion O'Dwyer,Comedy Lab
Marion O'Dwyer,Irish Jam
Kris Edlund,Standby
Kris Edlund,"Love, Rosie"
Kris Edlund,Deception
Kris Edlund,Mattie
Kris Edlund,Fifty Dead Men Walking
Kris Edlund,Learning Gravity (aka the Undertaking)
Kris Edlund,Las Vegas
Kris Edlund,Jake in Progress
Kris Edlund,Passions
Kris Edlund,Judging Amy
Kris Edlund,7th Heaven
Kris Edlund,The District
Kris Edlund,Beyond Belief: Fact or Fiction
Kris Edlund,JAG
Kris Edlund,The Young and the Restless
Kris Edlund,Frasier
Kris Edlund,Deadly Lessons
Kris Edlund,Young Ones
Kris Edlund,Frank
Kris Edlund,Lockout
Beau Rose Garratt,Janet
Roisin O'Donovan,Der Irland-Krimi
Marion O'Dwyer,Color Me Kubrick
Marion O'Dwyer,Casualty
Marion O'Dwyer,Poirot
Marion O'Dwyer,Ballykissangel
Marion O'Dwyer,Rebel Heart
Marion O'Dwyer,Agnes Browne
Marion O'Dwyer,The Ambassador
Marion O'Dwyer,The Life of Reilly
Marion O'Dwyer,The Governor
Marion O'Dwyer,From Ballybeg to Broadway
Beau Rose Garratt,The Mario Rosenstock Show
Beau Rose Garratt,"Love, Rosie"
Beau Rose Garratt,Empty
Roisin O'Donovan,Forever in My Heart
Roisin O'Donovan,Vivere
Roisin O'Donovan,Waking the Witch
Roisin O'Donovan,The Elvis Parking Method
Roisin O'Donovan,Red Rock
Roisin O'Donovan,Positive Discrimination
Roisin O'Donovan,"Love, Rosie"
Roisin O'Donovan,Get Up and Go
Roisin O'Donovan,Do You
Roisin O'Donovan,Tree Keeper
Roisin O'Donovan,Lies We Tell
Roisin O'Donovan,Chevalier
Roisin O'Donovan,The Serpent Queen
Roisin O'Donovan,Lady Chatterley's Lover
Roisin O'Donovan,The Wonder
Roisin O'Donovan,Then You Run
Roisin O'Donovan,An Encounter
Roisin O'Donovan,That Dirty Black Bag
Roisin O'Donovan,Harry Wild
Roisin O'Donovan,Vikings: Valhalla
Roisin O'Donovan,Foundation
Roisin O'Donovan,Frank of Ireland
Roisin O'Donovan,Fate: The Winx Saga
Roisin O'Donovan,Brave New World
Roisin O'Donovan,I May Destroy You
Roisin O'Donovan,An Audience with Olivia Colman
Roisin O'Donovan,Detainment
Roisin O'Donovan,Red Rock
David Crowley,Witness No. 3
David Crowley,State of Flux
David Crowley,The Titans That Built America
David Crowley,Miss Scarlet and the Duke
David Crowley,Red Rock
David Crowley,Carnival Row
David Crowley,The Professor and the Madman
David Crowley,The Hole in the Ground
David Crowley,Origin
David Crowley,Krypton
David Crowley,Ravenous
David Crowley,Damo and Ivor
David Crowley,"Love, Rosie"
David Crowley,Ripper Street
David Crowley,Casualty
David Crowley,Shades of LA
David Crowley,The Titans That Built America
David Crowley,Red Rock
Aaron Kinsella,You're Ugly Too
Aaron Kinsella,The Legend of Longwood
Aaron Kinsella,"Love, Rosie"
Aaron Kinsella,Blink
Aaron Kinsella,Bridge Station
Lara McDonnell,Greatest Days
Lara McDonnell,The Last Bus
Lara McDonnell,The Holiday
Lara McDonnell,Ballistic
Lara McDonnell,Belfast
Lara McDonnell,Artemis Fowl
Lara McDonnell,The Delinquent Season
Lara McDonnell,Walk Invisible: The Brontë Sisters
Lara McDonnell,"Love, Rosie"
Lara McDonnell,Broadway.com #LiveatFive
Lara McDonnell,Entertainment Tonight Canada
Art Parkinson,The Bay
Art Parkinson,The Belly of the Whale
Art Parkinson,Zoo
Art Parkinson,I Kill Giants
Art Parkinson,Kubo and the Two Strings
Art Parkinson,Game of Thrones
Art Parkinson,San Andreas
Art Parkinson,"Love, Rosie"
Art Parkinson,Dracula Untold
Art Parkinson,Shooting for Socrates
Art Parkinson,The Anomaly
Art Parkinson,Dark Touch
Art Parkinson,Freakdog
Art Parkinson,Home & Family
Art Parkinson,Game of Thrones: Season 2 - Invitation to the Set
Art Parkinson,Making of Game of Thrones
Art Parkinson,Game of Thrones: Costumes
Art Parkinson,The FalconCast Awards
Max Cleary,"Love, Rosie"
Justin Holmes,"Love, Rosie"
Ciaran McGlynn,Shamed
Ciaran McGlynn,Locked In
Ciaran McGlynn,Maya
Ciaran McGlynn,Swipe at first sight
Ciaran McGlynn,Muse
Ciaran McGlynn,Vikings
Ciaran McGlynn,"Love, Rosie"
Ciaran McGlynn,Florence/Nightingale
Ciaran McGlynn,"Violet Gibson, the Irish Woman Who Shot Mussolini"
Damien Devaney,Treaty Live
Damien Devaney,Vikings
Damien Devaney,"Love, Rosie"
Damien Devaney,Scúp
Damien Devaney,Horse in the Hole
Damien Devaney,Ripper Street
Damien Devaney,Love/Hate
Damien Devaney,Raw
Damien Devaney,Small Island
Damien Devaney,The Clinic
Damien Devaney,Father & Son
Damien Devaney,The Hanged Man
Damien Devaney,Rock Rivals
Damien Devaney,The Running Mate
Damien Devaney,Studs
Damien Devaney,Hamlet
David Walsh,"Love, Rosie"
David Walsh,Penny Dreadful
David Walsh,Ripper Street
David Walsh,Jimi: All Is by My Side
David Walsh,What Richard Did
David Walsh,He Moved Through the Fair
David Walsh,He Moved Through the Fair
Ben McGrattan,One Night in Dublin
Ben McGrattan,"Love, Rosie"
Ben McGrattan,Val Falvey TD
Kathleen Warner Yeates,Where We Left It
Kathleen Warner Yeates,Bluefish
Kathleen Warner Yeates,Time to Close
Kathleen Warner Yeates,The Noble Call
Kathleen Warner Yeates,The Letters
Kathleen Warner Yeates,True
Kathleen Warner Yeates,Forever in My Heart
Kathleen Warner Yeates,Little Women
Kathleen Warner Yeates,The Hiding
Kathleen Warner Yeates,"Love, Rosie"
Kathleen Warner Yeates,Albert Nobbs
Kathleen Warner Yeates,InZer0
Kathleen Warner Yeates,Killers
Kathleen Warner Yeates,Roadkiller
Kathleen Warner Yeates,Tromeo and Juliet
Kathleen Warner Yeates,Incubus
Kathleen Warner Yeates,Groundless
Kathleen Warner Yeates,Goodbye Darling
Kathleen Warner Yeates,I've Been a Sweeper
Kathleen Warner Yeates,"Love, Rosie"
Kathleen Warner Yeates,The Red Bear
Kathleen Warner Yeates,Shellshock
Kathleen Warner Yeates,The New Theatre
Patrick McLoughney,"Love, Rosie"
Patrick McLoughney,Irish Pictorial Weekly
Patrick McLoughney,The Mario Rosenstock Show
Chelsea O'Connor,Because It Is Bitter
Chelsea O'Connor,Moon Under Water
Chelsea O'Connor,Judith!
Chelsea O'Connor,Norteños
Chelsea O'Connor,In Darkness
Chelsea O'Connor,Receptive. Totally Receptive.
Chelsea O'Connor,An Accessory to Murder
Chelsea O'Connor,Zayn & Taylor Swift: I Don't Wanna Live Forever
Chelsea O'Connor,After Hours
Chelsea O'Connor,Saol
Chelsea O'Connor,Bully
Chelsea O'Connor,"Love, Rosie"
Chelsea O'Connor,Bridge to Kindness
Chelsea O'Connor,After Hours
Chelsea O'Connor,After Hours
Stephen Maguire,Resurrection of Dracula
Stephen Maguire,I Rip Your Jugular!
Stephen Maguire,"Love, Rosie"
Justin Grimes,Titanic: Adrift
Justin Grimes,"Love, Rosie"
Justin Grimes,Scraps
Justin Grimes,Monster from the Closet
Dale Leadon Bolger,Inherent
Dale Leadon Bolger,Crooked
Dale Leadon Bolger,Resistance
Dale Leadon Bolger,The First Dance
Dale Leadon Bolger,The Belly of the Whale
Dale Leadon Bolger,The Drummer and the Keeper
Dale Leadon Bolger,"Love, Rosie"
Dale Leadon Bolger,Ripper Street
Dale Leadon Bolger,Let the Wrong One In
Sarah Donovan,"Love, Rosie"
Sarah Donovan,One Night in Istanbul
Sarah Donovan,Daddy
Norma Sheahan,Harry Wild
Norma Sheahan,Timmy
Norma Sheahan,Holding
Norma Sheahan,Who We Love
Norma Sheahan,Three Families
Norma Sheahan,The Wake
Norma Sheahan,Blasts from the Past
Norma Sheahan,Ascending Grace
Norma Sheahan,Poster Boys
Norma Sheahan,Dead Still
Norma Sheahan,The Interview
Norma Sheahan,Bridget & Eamon
Norma Sheahan,Seanie & Flo
Norma Sheahan,Sonja: The White Swan
Norma Sheahan,The Vasectomy Doctor
Norma Sheahan,Christmas Perfection
Norma Sheahan,Women on the Verge
Norma Sheahan,Finding Joy
Norma Sheahan,The Bailout
Norma Sheahan,"Can't Cope, Won't Cope"
Norma Sheahan,Grace Harte
Norma Sheahan,Lost & Found
Norma Sheahan,Nice Night for It
Norma Sheahan,Acorn
Tristan Heanue,The Black Guelph
Norma Sheahan,QED
Norma Sheahan,Handsome Devil
Norma Sheahan,A Date for Mad Mary
Norma Sheahan,Holidays
Norma Sheahan,Rebellion
Norma Sheahan,Moone Boy
Norma Sheahan,Ticket to Somewhere
Norma Sheahan,Charlie
Norma Sheahan,Standby
Norma Sheahan,Damo and Ivor
Norma Sheahan,"Love, Rosie"
Norma Sheahan,Davin
Norma Sheahan,The Centre
Norma Sheahan,Scúp
Norma Sheahan,Foyle's War
Norma Sheahan,An Crisis
Norma Sheahan,Ripper Street
Norma Sheahan,Milo
Norma Sheahan,Dublin in Pieces
Norma Sheahan,Roy
Norma Sheahan,Primeval
Norma Sheahan,Ondine
Norma Sheahan,Savage
Norma Sheahan,School Run
Norma Sheahan,The Clinic
Tristan Heanue,The Gates
Tristan Heanue,North Sea Connection
Tristan Heanue,Joyride
Tristan Heanue,Death Waits
Tristan Heanue,Der Irland-Krimi
Tristan Heanue,Foxglove
Tristan Heanue,Smother
Tristan Heanue,The Racer
Tristan Heanue,Broken Law
Tristan Heanue,Innocent Boy
Tristan Heanue,Darklands
Tristan Heanue,Fair City
Tristan Heanue,Taken Down
Tristan Heanue,Finding Joy
Tristan Heanue,Dark Justice
Tristan Heanue,Vikings
Tristan Heanue,Soulsmith
Tristan Heanue,A Break in the Clouds
Tristan Heanue,Cardboard Gangsters
Tristan Heanue,Gridlock
Tristan Heanue,Game of Thrones
Tristan Heanue,In View
Tristan Heanue,Dog Eat Dog
Tristan Heanue,Blight
Tristan Heanue,Made Ordinary
Tristan Heanue,Williton's Way
Tristan Heanue,In This Place
Tristan Heanue,A Day Like Today
Tristan Heanue,"Love, Rosie"
Norma Sheahan,Paddywhackery
Norma Sheahan,Strength and Honour
Norma Sheahan,Botched
Norma Sheahan,New Boy
Norma Sheahan,The Formorian
Norma Sheahan,Be More Ethnic
Norma Sheahan,The Widow
Norma Sheahan,It Happened One Night
Norma Sheahan,Love Is the Drug
Norma Sheahan,Ciorcal
Norma Sheahan,Intermission
Norma Sheahan,Susanne Bartsch: On Top
Norma Sheahan,"Love, Rosie"
Norma Sheahan,The Afternoon Show
Nick Hardin,Sapio
Tristan Heanue,Skunky Dog
Tristan Heanue,Taxi
Tristan Heanue,Runner
Tristan Heanue,Car Park
Tristan Heanue,Idir Mna
Tristan Heanue,Harvest
Tristan Heanue,Ciúnas (Silence)
Tristan Heanue,A Break in the Clouds
Tristan Heanue,Today
Tristan Heanue,In This Place
Tristan Heanue,Harvest
Tristan Heanue,Ciúnas (Silence)
Tristan Heanue,A Break in the Clouds
Tristan Heanue,Today
Tristan Heanue,Ciúnas (Silence)
Tristan Heanue,A Break in the Clouds
Tristan Heanue,Today
Tristan Heanue,In This Place
Tristan Heanue,The Picnic
Tristan Heanue,"Love, Rosie"
Tristan Heanue,Sojourn
Tristan Heanue,Crimes That Shook Ireland
Nick Hardin,No
Nick Hardin,Gus's Room
Nick Hardin,When Fire Flies
Nick Hardin,Crazytown
Nick Hardin,Acts of Contrition
Nick Hardin,A Tale of Two Santas
Nick Hardin,Unhappy Endings
Nick Hardin,The Labyrinth
Nick Hardin,The Shed
Nick Hardin,"Love, Rosie"
Nick Hardin,Blandings
Nick Hardin,Lockout
Nick Hardin,The Native
Nick Hardin,Behavior
Nick Hardin,Brendan Smyth: Betrayal of Trust
Nick Hardin,Marú
Nick Hardin,Freakdog
Nick Hardin,Fairy Tales
Nick Hardin,Shattered
Nick Hardin,The Patrol
Nick Hardin,I.R.A.: King of Nothing
Nick Hardin,Laws of Attraction
Nick Hardin,The Big Bow Wow
Nick Hardin,Give My Head Peace
Nick Hardin,Bad Karma
Nick Hardin,Wild About Harry
Nick Hardin,Those She Left Behind
Nick Hardin,Superior Court
Nick Hardin,The Judge
Nick Hardin,The A-Team
Nick Hardin,Riptide
Nick Hardin,Code Red
Nick Hardin,The Secret War of Jackie's Girls
Nick Hardin,Fight for Your Life
Nick Hardin,Serpico
Nick Hardin,Red Dead Redemption II
Nick Hardin,Davy Jones
Nick Hardin,Where Are We Now? The Italian American Today
Nick Hardin,Imagining Ulysses
Nick Hardin,The American Parade
Barry Dobson,Sacrifice
Barry Dobson,The Mario Rosenstock Show
Barry Dobson,Nathan
Barry Dobson,Charlie
Barry Dobson,"Love, Rosie"
Barry Dobson,Paco Pedro: Mexican Mafia Mayhem
Barry Dobson,Love/Hate
Barry Dobson,The Most Fertile Man in Ireland
Barry Dobson,Borstal Boy
Jemma Curran,Perfect
Jemma Curran,Little Things
Jemma Curran,Scars
Jemma Curran,Abducted
Jemma Curran,Vlog 15
Jemma Curran,Happily Ever After
Jemma Curran,Home
Jemma Curran,Urban Man
Jemma Curran,Don't Forget Me
Jemma Curran,Little Things
Jemma Curran,"Love, Rosie"
Jemma Curran,Moone Boy
Jemma Curran,Stitches
Jemma Curran,The County
Jemma Curran,Hands On
Melissa Maria Carton,Sacrifice
Melissa Maria Carton,A Dangerous Fortune
Melissa Maria Carton,Ripper Street
Melissa Maria Carton,"Love, Rosie"
Melissa Maria Carton,Glassland
Melissa Maria Carton,Fair City
Melissa Maria Carton,Penny Dreadful
Melissa Maria Carton,Vikings
Melissa Maria Carton,Raw
Melissa Maria Carton,Ireland: am
Doireann Cooke,Seacole
Doireann Cooke,Freelance
Doireann Cooke,Last Light
Doireann Cooke,Joyride
Doireann Cooke,Aisha
Doireann Cooke,The Princess
Doireann Cooke,Red Election
Doireann Cooke,Red Notice
Doireann Cooke,All My Friends Hate Me
Doireann Cooke,Hitman's Wife's Bodyguard
Doireann Cooke,Mayday
Doireann Cooke,The Cursed
Doireann Cooke,The Midnight Sky
Doireann Cooke,Deep Blue Sea 3
Doireann Cooke,The Murders at White House Farm
Doireann Cooke,A Confession
Doireann Cooke,Criminal: UK
Doireann Cooke,Sweetness in the Belly
Doireann Cooke,Hatton Garden
Doireann Cooke,Battlefield V
Doireann Cooke,Married to a Paedophile
Doireann Cooke,North Sea Connection
Doireann Cooke,The Boy Murder
Doireann Cooke,"Love, Rosie"
Doireann Cooke,Deadbook
Doireann Cooke,Chimneys
Doireann Cooke,I Am Disappeared
Doireann Cooke,The Boy Murder
